"mahalle_id","mahalle","ilce","toplam_siparis","musteri_sayisi","nufus","talep_yogunlugu","penetrasyon_orani"
75,"Ataevler","Nilüfer","529","338","17793","0.0297","0.0190"
1025,"Üçevler","Nilüfer","843","507","27559","0.0306","0.0184"
202,"Demirci","Nilüfer","463","278","15415","0.0300","0.0180"
446,"Hocaalizade","Osmangazi","47","30","1675","0.0281","0.0179"
19,"Ahmetpaşa","Osmangazi","40","32","1802","0.0222","0.0178"
907,"Yeşil","Yıldırım","60","46","2596","0.0231","0.0177"
111,"Balkan","Nilüfer","506","345","19594","0.0258","0.0176"
143,"Beşevler","Nilüfer","645","403","23320","0.0277","0.0173"
294,"Esentepe","Nilüfer","313","225","13096","0.0239","0.0172"
399,"Hacı İlyas","Osmangazi","56","42","2439","0.0230","0.0172"
286,"Ertuğrul","Nilüfer","338","223","13058","0.0259","0.0171"
213,"Demirtaşpaşa","Osmangazi","79","66","4024","0.0196","0.0164"
574,"Kurtuluş","Nilüfer","211","141","8609","0.0245","0.0164"
1010,"Çırpan","Osmangazi","111","78","4908","0.0226","0.0159"
668,"Nalbantoğlu","Osmangazi","37","22","1405","0.0263","0.0157"
336,"Gaziakdemir","Osmangazi","64","44","2844","0.0225","0.0155"
936,"Yüzüncüyıl","Nilüfer","438","291","18806","0.0233","0.0155"
981,"Çekirge","Osmangazi","276","173","11143","0.0248","0.0155"
551,"Konak","Nilüfer","504","371","24807","0.0203","0.0150"
319,"Fethiye","Nilüfer","513","327","21920","0.0234","0.0149"
806,"Tahtakale","Osmangazi","26","18","1207","0.0215","0.0149"
13,"Adalet","Osmangazi","110","74","5219","0.0211","0.0142"
955,"Çamlıca","Nilüfer","377","251","17741","0.0213","0.0141"
1053,"İstiklal","Osmangazi","224","134","9588","0.0234","0.0140"
1031,"İhsaniye","Nilüfer","579","385","28846","0.0201","0.0133"
447,"Hocahasan","Osmangazi","79","55","4356","0.0181","0.0126"
230,"Dikkaldırım","Osmangazi","323","231","18401","0.0176","0.0126"
755,"Selimiye","Osmangazi","45","26","2088","0.0216","0.0125"
571,"Kurtoğlu","Yıldırım","74","40","3313","0.0223","0.0121"
347,"Geçit","Osmangazi","301","227","19195","0.0157","0.0118"
232,"Doburca","Osmangazi","15","9","760","0.0197","0.0118"
66,"Anadolu","Yıldırım","29","23","1966","0.0148","0.0117"
261,"Ebu İshak","Osmangazi","16","11","960","0.0167","0.0115"
926,"Yunuseli","Osmangazi","768","472","42519","0.0181","0.0111"
501,"Karaman","Nilüfer","184","123","11484","0.0160","0.0107"
1041,"İntizam","Osmangazi","45","33","3118","0.0144","0.0106"
653,"Muradiye","Osmangazi","50","34","3213","0.0156","0.0106"
456,"Hüdavendigar","Osmangazi","341","226","22179","0.0154","0.0102"
938,"Yıldırım","Yıldırım","83","63","6575","0.0126","0.0096"
479,"Karaağaç","Yıldırım","83","61","6398","0.0130","0.0095"
517,"Kavaklı","Osmangazi","15","10","1084","0.0138","0.0092"
906,"Yenımahalle","Yıldırım","43","36","3973","0.0108","0.0091"
895,"Yenikaraman","Osmangazi","133","93","10629","0.0125","0.0087"
383,"Güneştepe","Osmangazi","374","251","29554","0.0127","0.0085"
576,"Kuruçeşme","Osmangazi","8","8","938","0.0085","0.0085"
643,"Meydancık","Yıldırım","22","17","2095","0.0105","0.0081"
1,"152evler","Yıldırım","85","71","8775","0.0097","0.0081"
34,"Aktarhüssam","Osmangazi","14","11","1386","0.0101","0.0079"
419,"Hamitler","Osmangazi","578","405","52062","0.0111","0.0078"
940,"Zafer","Osmangazi","38","30","3873","0.0098","0.0077"
670,"Namazgah","Yıldırım","43","30","4070","0.0106","0.0074"
31,"Akpınar","Osmangazi","104","80","10886","0.0096","0.0073"
269,"Elmasbahçeler","Osmangazi","98","69","9467","0.0104","0.0073"
235,"Doğanbey","Osmangazi","30","19","2609","0.0115","0.0073"
1027,"İbrahimpaşa","Osmangazi","25","16","2217","0.0113","0.0072"
811,"Tayakadın","Osmangazi","18","13","1800","0.0100","0.0072"
727,"Pınarbaşı","Osmangazi","21","15","2123","0.0099","0.0071"
1039,"İnkaya","Osmangazi","12","5","702","0.0171","0.0071"
272,"Emek Adnan Menderes","Osmangazi","341","234","33919","0.0101","0.0069"
56,"Alipaşa","Osmangazi","17","15","2248","0.0076","0.0067"
130,"Bağlarbaşı","Osmangazi","308","235","35887","0.0086","0.0065"
1071,"Şükraniye","Yıldırım","66","55","8559","0.0077","0.0064"
274,"Emek Zekai Gümüşdiş","Osmangazi","118","64","9937","0.0119","0.0064"
46,"Alaaddin","Osmangazi","16","13","2055","0.0078","0.0063"
767,"Sinandede","Yıldırım","53","40","6346","0.0084","0.0063"
854,"Yahşibey","Osmangazi","31","17","2725","0.0114","0.0062"
775,"Soğukkuyu","Osmangazi","88","60","9738","0.0090","0.0062"
139,"Beyazıt","Yıldırım","53","44","7164","0.0074","0.0061"
64,"Altıparmak","Osmangazi","14","12","2050","0.0068","0.0059"
457,"Hürriyet","Osmangazi","42","27","4633","0.0091","0.0058"
609,"Kızılcıklı","Nilüfer","92","63","10880","0.0085","0.0058"
756,"Selimzade","Yıldırım","24","20","3476","0.0069","0.0058"
451,"Hocataşkın","Yıldırım","11","7","1221","0.0090","0.0057"
467,"Işıktepe","Nilüfer","33","22","3839","0.0086","0.0057"
502,"Karamazak","Yıldırım","38","21","3768","0.0101","0.0056"
843,"Umurbey","Yıldırım","28","26","5545","0.0050","0.0047"
646,"Mimarsinan","Yıldırım","71","56","11893","0.0060","0.0047"
649,"Mollaarap","Yıldırım","52","39","8280","0.0063","0.0047"
184,"Davutdede","Yıldırım","40","28","6470","0.0062","0.0043"
625,"Maksem","Osmangazi","26","18","4333","0.0060","0.0042"
273,"Emek Fatih Sultan Mehmet","Osmangazi","134","101","24404","0.0055","0.0041"
658,"Musababa","Yıldırım","16","13","3137","0.0051","0.0041"
1054,"İvazpaşa","Osmangazi","13","11","2675","0.0049","0.0041"
277,"Emirsultan","Yıldırım","31","23","5766","0.0054","0.0040"
49,"Alacahırka","Osmangazi","19","14","3726","0.0051","0.0038"
244,"Duaçınarı","Yıldırım","15","10","2710","0.0055","0.0037"
549,"Kocanaip","Osmangazi","7","6","1662","0.0042","0.0036"
881,"Yenibağlar","Osmangazi","76","62","17576","0.0043","0.0035"
635,"Mehmetakifersoy","Yıldırım","27","23","6675","0.0040","0.0034"
185,"Davutkadı","Yıldırım","31","23","6732","0.0046","0.0034"
816,"Teferrüç","Yıldırım","21","17","5558","0.0038","0.0031"
285,"Erikli","Yıldırım","45","36","11898","0.0038","0.0030"
758,"Selçukbey","Yıldırım","45","34","11185","0.0040","0.0030"
697,"Ortabağlar","Yıldırım","55","46","15172","0.0036","0.0030"
726,"Piremir","Yıldırım","47","37","12580","0.0037","0.0029"
801,"Sırameşeler","Osmangazi","43","35","12478","0.0034","0.0028"
406,"Hacıseyfettin","Yıldırım","26","20","7121","0.0037","0.0028"
650,"Mollafenari","Osmangazi","20","16","5766","0.0035","0.0028"
371,"Güllük","Yıldırım","28","27","9609","0.0029","0.0028"
101,"Bahar","Osmangazi","24","15","5764","0.0042","0.0026"
800,"Sıracevizler","Yıldırım","19","17","6500","0.0029","0.0026"
228,"Değirmenlikızık","Yıldırım","51","42","16721","0.0031","0.0025"
129,"Bağlaraltı","Yıldırım","50","45","18045","0.0028","0.0025"
206,"Demirkapı","Osmangazi","8","4","1575","0.0051","0.0025"
627,"Maltepe","Yıldırım","19","16","6579","0.0029","0.0024"
119,"Baruthane","Yıldırım","26","19","7916","0.0033","0.0024"
310,"Eğitim","Yıldırım","42","26","11176","0.0038","0.0023"
896,"Yenikent","Osmangazi","22","14","6736","0.0033","0.0021"
913,"Yeşilyayla","Yıldırım","15","13","6440","0.0023","0.0020"
872,"Yediselviler","Yıldırım","9","8","4278","0.0021","0.0019"
751,"Selamet","Osmangazi","12","12","6484","0.0019","0.0019"
420,"Hamzabey","Osmangazi","5","5","2661","0.0019","0.0019"
945,"Zümrütevler","Yıldırım","26","24","13043","0.0020","0.0018"
289,"Ertuğrulgazi","Yıldırım","21","16","9028","0.0023","0.0018"
563,"Koğukçınar","Osmangazi","12","9","5891","0.0020","0.0015"
7,"75.Yıl","Yıldırım","16","15","10815","0.0015","0.0014"
651,"Mollagürani","Osmangazi","1","1","747","0.0013","0.0013"
291,"Esenevler","Yıldırım","38","23","17361","0.0022","0.0013"
374,"Gümüştepe","Nilüfer","6","3","2552","0.0024","0.0012"
769,"Siteler","Yıldırım","6","6","5025","0.0012","0.0012"
1060,"Şehabettinpaşa","Osmangazi","1","1","868","0.0012","0.0012"
368,"Gülbahçe","Osmangazi","10","8","7575","0.0013","0.0011"
54,"Alemdar","Osmangazi","25","18","21846","0.0011","0.0008"
67,"Arabayatağı","Yıldırım","12","12","21622","0.0006","0.0006"
671,"Namık Kemal","Osmangazi","6","4","7615","0.0008","0.0005"
863,"Yavuzselım","Yıldırım","5","5","14300","0.0003","0.0003"
398,"Hacivat","Yıldırım","7","5","16220","0.0004","0.0003"
1008,"Çınarönü","Yıldırım","1","1","14421","0.0001","0.0001"
